n_features,cluster,method,split,percent_rmse,rmse,mae,r2
120,0,XGB,test,15.576505823812978,33.84087158812181,25.480266571044922,0.3301171064376831
120,0,XGB,train,0.22898371453438965,0.4479790207983058,0.35187727212905884,0.9999140501022339
120,0,MLP,test,101.24565777098482,219.96212387022453,216.0459747314453,-27.301639556884766
120,0,MLP,train,102.39175102811939,200.31711188138672,194.40274047851562,-16.188478469848633
120,1,NNLS,test,24.717271503632883,29.87996825906251,22.12513412245432,0.8593517176455228
120,1,NNLS,train,22.256555250505773,35.72003577976364,26.964298157980355,0.810164543975963
120,1,LINEAR,test,27.700869183968475,33.48675001784754,23.949844360351562,0.8233473300933838
120,1,LINEAR,train,20.49435880288254,32.89184788403598,26.364778518676758,0.8390355110168457
120,1,XGB,test,34.290616770670205,41.45289825135873,28.957929611206055,0.7293026447296143
120,1,XGB,train,1.9325551439430926,3.101600320042556,2.507268190383911,0.9985687136650085
120,1,MLP,test,119.5957029929603,144.5756587180221,121.41542053222656,-2.2927935123443604
120,1,MLP,train,112.1514520670535,179.99433584838164,160.50347900390625,-3.8202686309814453
130,0,NNLS,test,14.285519812232483,31.036128834251567,24.90747522307213,0.4365558452951199
130,0,NNLS,train,22.786986483308773,44.5799908194074,36.42117370019015,0.14870256936098603
130,0,LINEAR,test,16.072128854064566,34.91764166175531,29.076452255249023,0.28680938482284546
130,0,LINEAR,train,10.992274660551425,21.5050596449308,17.363677978515625,0.8019008636474609
130,0,XGB,test,17.141098722577556,37.24004133605302,29.291461944580078,0.18878471851348877
130,0,XGB,train,5.098579388744229,9.974755657520944,8.197763442993164,0.9573807716369629
130,0,MLP,test,34.57773548399615,75.12215637817015,63.025146484375,-2.301048517227173
130,0,MLP,train,43.35399715897428,84.81686671238363,51.80549240112305,-2.0815255641937256
130,1,NNLS,test,23.026265296086677,27.83576156740029,21.355815672957437,0.8779380272219933
130,1,NNLS,train,22.835599742686114,36.64935704021731,27.843515450996907,0.8001582245819667
130,1,LINEAR,test,27.61709591761195,33.385479028477896,24.15444564819336,0.8244141936302185
130,1,LINEAR,train,20.355367388484694,32.66877750142328,26.171009063720703,0.8412113785743713
130,1,XGB,test,34.415813706075575,41.60424507196126,31.393489837646484,0.7273223996162415
130,1,XGB,train,1.792638042966293,2.877044282648651,2.341082811355591,0.9987684488296509
130,1,MLP,test,43.36919331028972,52.427717167007664,36.855506896972656,0.566991925239563
130,1,MLP,train,27.15280235006906,43.57813060236608,33.00181198120117,0.7174530029296875
140,0,NNLS,test,13.69696322119744,29.75745515449018,23.813188101877085,0.4820267147823598
140,0,NNLS,train,22.276479673703086,43.58124581632694,35.58167184751394,0.18641926750829096
140,0,LINEAR,test,15.812614840313136,34.353832260981086,28.402873992919922,0.30965501070022583
140,0,LINEAR,train,10.636503880004069,20.80903702069165,16.784204483032227,0.8145164847373962
140,0,XGB,test,14.885995961213288,32.34069845206172,27.200481414794922,0.3881927728652954
140,0,XGB,train,0.06086566874652264,0.11907634017006159,0.09639231115579605,0.9999939203262329
140,0,MLP,test,40.846361735490326,88.74111421186068,67.57948303222656,-3.6064414978027344
140,0,MLP,train,55.757014909659745,109.08187506983,73.26274871826172,-4.09690523147583
140,1,NNLS,test,23.60159295700296,28.531257922821744,21.635826799873907,0.8717622147671762
140,1,NNLS,train,23.36427875049372,37.49784562537105,28.050050808070953,0.7907978261620291
140,1,LINEAR,test,27.94136719812373,33.7774808547148,24.80284309387207,0.8202666640281677
140,1,LINEAR,train,20.19948785067733,32.418602997546024,25.921846389770508,0.8436340689659119
140,1,XGB,test,32.131488690726165,38.84279306695371,30.15330696105957,0.7623186707496643
140,1,XGB,train,1.8243662866544113,2.9279656398403886,2.308940887451172,0.9987244606018066
140,1,MLP,test,43.14243692758481,52.153598176294366,37.63330841064453,0.5715080499649048
140,1,MLP,train,31.626931757508554,50.758759442644475,38.328426361083984,0.6166675686836243
150,0,NNLS,test,13.327788290894985,28.95540098706452,23.4730426628666,0.5095723437310766
150,0,NNLS,train,21.673174185874036,42.400951391330565,34.38055216850198,0.22989033129099157
150,0,LINEAR,test,15.489217929124289,33.65123352238555,27.8820743560791,0.3376038670539856
150,0,LINEAR,train,10.397353513231508,20.341168170943224,16.40174102783203,0.8227635025978088
150,0,XGB,test,14.877521325637863,32.32228680971343,25.37041664123535,0.3888891935348511
150,0,XGB,train,0.017170356239582473,0.03359173114388023,0.026165693998336792,0.9999995231628418
150,0,MLP,test,49.70606499504726,107.98933866648596,93.97126770019531,-5.821463584899902
150,0,MLP,train,32.2618691071238,63.116455950241296,46.730751037597656,-0.7064225673675537
150,1,NNLS,test,20.58398031296654,24.883356494514757,19.262032178269692,0.9024579020256548
150,1,NNLS,train,23.11842332862487,37.10326684321182,28.173390278280294,0.7951774074473623
150,1,LINEAR,test,27.49895660639507,33.24266395810134,23.814855575561523,0.8259131908416748
150,1,LINEAR,train,20.06045673737206,32.195468901282325,25.82428741455078,0.8457791805267334
150,1,XGB,test,33.00002664316736,39.892742550533235,28.078962326049805,0.7492955923080444
150,1,XGB,train,1.893151628433401,3.038360750036651,2.449920654296875,0.9986264705657959
150,1,MLP,test,51.376956628881196,62.10806209304171,48.06852340698242,0.3923267722129822
150,1,MLP,train,22.75947210480415,36.527178117272314,28.58332061767578,0.8014883995056152
160,0,NNLS,test,14.266526133736507,30.99486395480821,24.57378388177567,0.4380531324485667
160,0,NNLS,train,21.573389571498037,42.20573482787411,34.85094069483877,0.23696527065236417
160,0,LINEAR,test,15.412144993992023,33.48378805481841,28.20845603942871,0.34417951107025146
160,0,LINEAR,train,10.0680214304319,19.696869670196012,16.039405822753906,0.833813488483429
160,0,XGB,test,13.694768250197614,29.752686451381475,22.626296997070312,0.4821926951408386
160,0,XGB,train,0.5089755409662484,0.9957492606667645,0.7326124310493469,0.9995752573013306
160,0,MLP,test,99.3140812235057,215.7656606425128,208.7344207763672,-26.232057571411133
160,0,MLP,train,76.65478863463188,149.96584897694208,121.4920883178711,-8.633543968200684
160,1,NNLS,test,21.980377013661872,26.571418588573305,21.608891904784336,0.8887746832393522
160,1,NNLS,train,23.52822068246115,37.76095964323089,28.785022431373164,0.787851676088458
160,1,LINEAR,test,27.420691610842518,33.14805175211565,23.618488311767578,0.8269027471542358
160,1,LINEAR,train,19.94086064193828,32.00352649330715,25.66539764404297,0.8476125001907349
160,1,XGB,test,30.74812065903264,37.170480940126566,29.890079498291016,0.7823440432548523
160,1,XGB,train,5.780125075761093,9.276650056302104,7.896821975708008,0.9871962666511536
