n_features,method,split,percent_rmse,rmse,mae,r2
260,XGB,test,24.665437336281457,43.79953668776075,32.9005241394043,0.6731231212615967
260,XGB,train,5.290130961112755,9.245570178854786,7.836369037628174,0.9836777448654175
270,NNLS,test,15.783315308209028,28.027149426599927,22.06920278388174,0.866154724681992
270,NNLS,train,23.902876939882695,41.77509552196979,34.03875916422273,0.6667674596453282
270,LINEAR,test,20.410541266265913,36.243924598648256,29.309307098388672,0.7761713862419128
270,LINEAR,train,20.900553443490814,36.527930037870505,29.657197952270508,0.7452216148376465
270,XGB,test,27.448834736310136,48.74214179453699,36.56745147705078,0.5951870679855347
270,XGB,train,7.887644189394688,13.785248122391502,11.297118186950684,0.9637137651443481
280,NNLS,test,15.739792045329573,27.949863193103646,21.93057733798269,0.8668918766807983
280,NNLS,train,23.98146095029106,41.91243692022764,34.3663352195793,0.6645727618469026
280,LINEAR,test,20.426420735286392,36.272122492586334,29.388301849365234,0.7758229970932007
280,LINEAR,train,20.885865025650062,36.50225906696992,29.6483097076416,0.7455796003341675
280,XGB,test,27.221042917399352,48.33764152180601,36.60765838623047,0.6018780469894409
280,XGB,train,7.907105576840512,13.819260819757769,11.378315925598145,0.9635344743728638
290,NNLS,test,16.008100904319754,28.42631141304684,22.92088371654345,0.8623151339572449
290,NNLS,train,24.08848953967358,42.09949095377689,34.75386658216748,0.6615720760053563
290,LINEAR,test,20.57154419596375,36.52982480913285,29.492862701416016,0.7726262211799622
290,LINEAR,train,20.81118247470438,36.37173625553484,29.585739135742188,0.7473958134651184
290,XGB,test,27.038703409812552,48.01385298145734,35.563140869140625,0.6071938276290894
290,XGB,train,3.658743954946808,6.394392549179167,5.472268581390381,0.9921925067901611
300,NNLS,test,15.915880088413894,28.262550724169756,22.140559071844503,0.8638969376457145
300,NNLS,train,24.26604916201757,42.409812184268134,34.505643735141206,0.6565644889293879
300,LINEAR,test,20.58757495615408,36.55829135766861,29.48857307434082,0.7722717523574829
300,LINEAR,train,20.760844141866247,36.283759872272746,29.52655601501465,0.7486163377761841
300,XGB,test,26.179318673055878,46.48780449533915,34.856319427490234,0.6317665576934814
300,XGB,train,3.6412182909238076,6.363762918675351,5.486535549163818,0.9922671318054199
